"Date","Price","Open","High","Low","Vol.","Change %"
"2018-08-30","5.2731","5.2863","5.2943","5.2592","","-0.25%"
"2018-08-29","5.2862","5.2618","5.2866","5.2581","","0.48%"
"2018-08-28","5.2611","5.2575","5.2797","5.2492","","0.10%"
"2018-08-27","5.2557","5.2223","5.2622","5.2215","","0.58%"
"2018-08-24","5.2253","5.2587","5.2690","5.2201","","-0.61%"
"2018-08-23","5.2575","5.2641","5.2808","5.2505","","-0.13%"
"2018-08-22","5.2641","5.2526","5.2694","5.2438","","0.22%"
"2018-08-21","5.2526","5.2560","5.2664","5.2432","","-0.07%"
"2018-08-20","5.2562","5.2654","5.2686","5.2369","","-0.19%"
"2018-08-17","5.2661","5.2320","5.2705","5.2246","","0.64%"
"2018-08-16","5.2326","5.2785","5.2805","5.2236","","-0.84%"
"2018-08-15","5.2768","5.2716","5.2879","5.2624","","0.07%"
"2018-08-14","5.2729","5.2470","5.2736","5.2444","","0.49%"
"2018-08-13","5.2471","5.2090","5.2565","5.1976","","0.73%"
"2018-08-10","5.2093","5.2267","5.2507","5.2050","","-0.33%"
"2018-08-09","5.2268","5.2496","5.2537","5.2209","","-0.42%"
"2018-08-08","5.2489","5.2321","5.2566","5.2082","","0.29%"
"2018-08-07","5.2339","5.2709","5.2843","5.2246","","-0.69%"
"2018-08-06","5.2703","5.2609","5.2756","5.2307","","0.19%"
"2018-08-03","5.2603","5.2520","5.2912","5.2458","","0.11%"
"2018-08-02","5.2544","5.2447","5.2665","5.2366","","0.15%"
"2018-08-01","5.2466","5.2373","5.2561","5.2183","","0.17%"
"2018-07-31","5.2378","5.2313","5.2634","5.2190","","0.19%"
"2018-07-30","5.2278","5.2207","5.2499","5.2147","","0.15%"
"2018-07-27","5.2200","5.1939","5.2411","5.1912","","0.47%"
"2018-07-26","5.1956","5.1921","5.2108","5.1741","","0.13%"
"2018-07-25","5.1891","5.1659","5.1987","5.1482","","0.50%"
"2018-07-24","5.1631","5.1570","5.1805","5.1528","","0.12%"
"2018-07-23","5.1567","5.1501","5.1710","5.1382","","0.15%"
"2018-07-20","5.1490","5.1044","5.1665","5.1014","","0.85%"
"2018-07-19","5.1055","5.1040","5.1309","5.0975","","0.07%"
"2018-07-18","5.1018","5.0832","5.1060","5.0675","","0.34%"
"2018-07-17","5.0846","5.0926","5.0996","5.0727","","-0.19%"
"2018-07-16","5.0941","5.0862","5.0999","5.0752","","0.20%"
"2018-07-13","5.0841","5.0667","5.0896","5.0571","","0.30%"
"2018-07-12","5.0690","5.0584","5.0782","5.0513","","0.19%"
"2018-07-11","5.0592","5.0598","5.1105","5.0425","","0.05%"
"2018-07-10","5.0567","5.0459","5.0618","5.0279","","0.20%"
"2018-07-09","5.0468","5.0742","5.0762","5.0415","","-0.62%"
"2018-07-06","5.0784","5.0537","5.0815","5.0484","","0.49%"
"2018-07-05","5.0537","5.0456","5.0618","5.0421","","0.15%"
"2018-07-04","5.0462","5.0560","5.0629","5.0275","","-0.19%"
